id,title,artist_title,classification_titles
147620,"To Bury the Dead, from The Works of Mercy",Sébastien Bourdon,engraving;print;prints and drawing
118003,Cart Drawn by Two Pairs of Oxen in a Storm,Sébastien Bourdon,etching;print;prints and drawing
118002,Two Carters Pushing Their Cart and Animals,Sébastien Bourdon,etching;print;prints and drawing
109030,Siege of Tourney MDCLXVII,"Sébastien Le Clerc, the elder",etching;print;prints and drawing
109029,Defeat of the Spanish Army Near the Canal at Bruges by the Troops of King Louis XIV 1667,"Sébastien Le Clerc, the elder",etching;print;prints and drawing
109028,Renewal of the Alliance Between the French and the Swiss in 1663,"Sébastien Le Clerc, the elder",etching;print;prints and drawing
109031,The Siege of Douai of 1667,"Sébastien Le Clerc, the elder",etching;print;prints and drawing
80135,"François Rouxel de Medavy, Archbishop of Rouen",Antoine Masson,engraving;print;prints and drawing
47030,"Portrait of Henri de Lorraine, Comte d'Harcourt, Grand Squire of France",Antoine Masson,engraving;print;prints and drawing
259721,The Money Devil,Workshop of Germain Hoyau and Olivier Truschet,prints and drawing;paper;print;woodcut
53512,"Portrait of Henri de Lorraine, Comte d'Harcourt, Horsemaster of France",Antoine Masson,engraving;print;prints and drawing
16580,"Denis Marin de la Châtaigneraye, Secretary to the King",Antoine Masson,engraving;print;prints and drawing
124655,The Nymph of Fontainebleau,Pierre Milan,engraving;print;prints and drawing
104229,Diana and Actaeon,Jean Mignon,etching;print;prints and drawing
93543,Anne of Austria,Robert Nanteuil,engraving;print;prints and drawing
77838,Hardouin de Péréfixe de Beaumont,Robert Nanteuil,engraving;print;prints and drawing
77827,"François de Vendôme, Duc de Beaufort",Robert Nanteuil,engraving;print;prints and drawing
13223,Le Maréchal de Turenne,Robert Nanteuil,engraving;print;prints and drawing
260505,The Dead Christ Lying in the Sepulchre,Nicolas de Plattemontagne,print;prints and drawing;engraving;etching;paper
87720,Vase Bleu,Jean Baptiste Monnoyer,etching;print;prints and drawing
87717,Basket of Flowers,Jean Baptiste Monnoyer,etching;print;prints and drawing
15545,Louis XIV,Robert Nanteuil,engraving;print;prints and drawing
