id,title,artist_title,classification_titles
6005,The Banks of the Marne in Winter,Camille Pissarro,oil on canvas;paint;painting;european painting
161,Skyphos (Drinking Cup),Ancient Greek,drinking vessel;ceramics;vessel;ancient art
22,"Villa Pamphili outside Porta S. Pancrazio, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
7988,Claude Monet,Albert André,oil on canvas;portrait;european painting;painting;modern and contemporary art
11283,"Mosquée près de Bab-el-Saïda, Le Kaire, plate 2 from the album ""Egypte, Nubie, Palestine et Syrie,"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
9637,View of an Italian Villa and Gardens (the Belvedere of the Vatican),Jean Jacques de Boissieu,ink or chalk wash;drawings (visual works);prints and drawing
12216,Cupid and Psyche: Design for a Ceiling,François Boucher,ink or chalk wash;drawings (visual works);prints and drawing
15857,Cabaret Scene,André Lhote,pen and ink drawings;drawings (visual works);prints and drawing
15854,Seated Female Nude,André Lhote,graphite;drawings (visual works);prints and drawing
14245,Three Types of Chrysanthemums,Kitao Shigemasa,woodblock print;print;asian art
16568,Water Lilies,Claude Monet,oil on canvas;paint;oil paintings (visual works);french;european painting;painting;modern and contemporary art
21843,"Plants, Porcelain Bowl, and Glass Goblet",Katsukawa Shunsho,woodblock print;print;asian art
20545,"Rocks at Port-Goulphar, Belle-Île",Claude Monet,painting;paint;oil paintings (visual works);oil on canvas;french;european painting
24202,La Java,Georges Emile Capon,painting;modern and contemporary art
22191,Claudine Resting,Jules Pascin,painting;modern and contemporary art
25099,"Morning Glories and Tree-frog, from an untitled series of Large Flowers",Katsushika Hokusai,woodblock print;print;asian art
24880,Flowers and spring greens in a hat,Katsushika Hokusai,woodblock print;print;asian art
24851,Inwood Park,June Leaf,lithograph;print;prints and drawing
25108,"Poppies, from an untitled series of flowers",Katsushika Hokusai,woodblock print;print;asian art
25105,"Cotton Roses and Sparrow, from an untitled series of Large Flowers",Katsushika Hokusai,woodblock print;print;asian art
25102,"Lilies, from an untitled series of Large Flowers",Katsushika Hokusai,woodblock print;print;asian art
25115,"Orange Orchids, from an untitled series of flowers",Katsushika Hokusai,woodblock print;print;asian art
25113,"Peonies and Butterfly, from an untitled series of large flowers",Katsushika Hokusai,woodblock print;print;asian art
25110,"Chrysanthemums and Bee, from an untitled series of Large Flowers",Katsushika Hokusai,woodblock print;print;asian art
26561,"View from Massaki of Suijin Shrine, Uchigawa Inlet, and Sekiya (Massaki hen yori Suijin no mori Uchigawa Sekiya no sato o miru zu), from the series ""One Hundred Famous Views of Edo (Meisho Edo hyakkei)""",Utagawa Hiroshige,woodblock print;print;asian art
25129,"Bell-Flower and Dragonfly, from an untitled series of large flowers",Katsushika Hokusai,woodblock print;print;asian art
25117,"Hydrangea and Swallow, from an untitled series of large flowers",Katsushika Hokusai,woodblock print;print;asian art
27949,Madame Roulin Rocking the Cradle (La berceuse),Vincent van Gogh,oil on canvas;dutch;france;oil paintings (visual works);paint;portrait;painting;european painting
26720,View of the Grotta di Palazzo with Banquet,Louis Jean Desprez,watercolor;drawings (visual works);prints and drawing
26607,"Precincts of Kameido Tenjin Shrine (Kameido Tenjin keidai), from the series ""One Hundred Famous Views of Edo (Meisho Edo hyakkei)""",Utagawa Hiroshige,woodblock print;print;asian art
28277,Saint Eustace,Albrecht Dürer,engraving;print;prints and drawing;paper
28560,The Bedroom,Vincent van Gogh,oil on canvas;dutch;oil paintings (visual works);paint;painting;european painting
28283,Saint Jerome Penitent in the Wilderness,Albrecht Dürer,engraving;print;prints and drawing;paper
30368,Colonnade and Gardens of the Medici Palace,Style of Hubert Robert,painting;french;oil on panel;paint;european painting
34231,"The Plum Orchard at Kamata (Kamata no umezono), from the series ""One Hundred Famous Views of Edo (Meisho Edo hyakkei)""",Utagawa Hiroshige,woodblock print;print;asian art
32276,"Iris and Grasshopper, from an untitled series of large flowers",Katsushika Hokusai,woodblock print;print;asian art
39541,Saint Jerome in Penitence,Lucas Cranach the Elder,woodcut;print;prints and drawing
36504,Tile with Musician and Dancer,Islamic,earthenware;asian art;ceramics;decorative arts
36343,Exploratory Studies,June Leaf,watercolor;drawings (visual works);prints and drawing
43244,Saint Jerome Reading in an Italian Landscape,Rembrandt van Rijn,etching;print;prints and drawing;paper;drypoint;burin
41375,Flowers,Suiseki Sato,print;asian art
39920,View of the Villa d'Este,Claude Thienon,lithograph;print;prints and drawing
44741,The Annunciation,Alessandro Vittoria,relief;sculpture;bronze;Italian
43925,"The Circumcision of Christ, from The Life of the Virgin",Albrecht Dürer,woodcut;print;prints and drawing;paper
45240,The Bathers,Paul Cezanne,oil on canvas;french;oil paintings (visual works);paint;painting;european painting
48064,"View of the Grand Cascade at Tivoli, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
47580,Peonies,Kitagawa Utamaro,woodblock print;print;asian art
49212,"Sheet of Studies: Head of the Artist, a Beggar Couple, Heads of an Old Man and Old Woman, etc.",Rembrandt van Rijn,etching;print;prints and drawing;paper
48164,"Another view of the Temple of the Sibyl in Tivoli, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48151,"View of the Villa of His Eminence Cardinal Alessandro Albani, outside Porta Salaria, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
48121,"View of the Remains of the Praetorian Fort [the Poecile], Hadrian's Villa, Tivoli, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
53045,Port of Bordeaux,André Lhote,painting;modern and contemporary art
52983,The Past and the Present,Gertrude Abercrombie,painting;modern and contemporary art
55522,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
55199,Old Shepherd Leaning on a Staff,Parmigianino,ink with wash;drawings (visual works);prints and drawing
55534,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
55529,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
55557,The Old Shepherd,"Conte Antonio Maria Zanetti, the Elder",woodcut;print;prints and drawing
59447,Puériculture,Man Ray (Emmanuel Radnitzky),plaster;sculpture;modern and contemporary art
57703,A Pine Tree and Camellias,Niwa Tokei,print;asian art
55721,"January, from Twelve Months of Flowers",Henry Fletcher,engraving;print;prints and drawing
55718,"Title Page, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
61128,At the Moulin Rouge,Henri de Toulouse-Lautrec,oil on canvas;french;oil paintings (visual works);paint;painting;european painting
61921,Bowl or Cup,Ancient Roman,glass;bowl;drinking vessel;vessel;ancient art
61910,Bowl or Cup,Ancient Roman,bowl;glass;vessel;ancient art;container
64520,"View of the Villa d'Este, Tivoli, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
64507,"View of the Small Waterfall and Rapids, Tivoli, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
62181,Saint Jerome in the Desert,Hieronymus Cock,etching;print;prints and drawing
67428,Jug,Ancient Roman,vessel;glass;ancient art;container
64936,Relief Showing the Head of a Winged Genius,Neo-Assyrian,stone;sculpture;ancient art
72177,Heart of Darkness,Sean Scully,painting;modern and contemporary art
70593,Garden Scene,Islamic,miniature painting;painting;asian art
68802,Ascent,Nancy Hemenway Barton,textile;needlework (visual works);fiber art
75557,Manuscript of Kulliyat (Complete Works) by Sa'di with Lacquered Cover,Islamic,book;asian art;persian;iran
79763,Door,Giovanni Domenico Tiepolo,wood;architectural fragment;european decorative arts;furniture
78888,A Chalice,Wenceslaus Hollar,etching;print;prints and drawing
78503,Portrait of Emily Crane Chadbourne,Tsugouharu Foujita,oil on canvas;painting;modern and contemporary art
83613,"'Il Mascherone,' a Rocaille Fountain on the Grounds of the Villa Borghese",Richard Wilson,chalk;drawings (visual works);prints and drawing
81235,An Autumn Gift,Katsushika Hokusai,woodblock print;print;asian art
87088,Water Lily Pond,Claude Monet,painting;european painting;paint;oil paintings (visual works);oil on canvas;french;modern and contemporary art
84092,Roma Antica,Giovanni Paolo Panini,watercolor;drawings (visual works);prints and drawing
103139,"Waterloo Bridge, Gray Weather",Claude Monet,painting;european painting;french;oil paintings (visual works);oil on canvas;modern and contemporary art
93444,Around the Void II (Alrededor del vacio II),Eduardo Chillida,bronze;metal;sculpture;modern and contemporary art
90862,Percolator,Man Ray (Emmanuel Radnitzky),oil on panel;painting;modern and contemporary art
103448,After Franz Marc: 1-6,Sherrie Levine,painting;modern and contemporary art;print;prints and drawing
103309,Eggplant with fruit and flowers,Ônishi Chinnen,print;asian art
109413,"The Medici Vase, plate one from The Six Large Views of Rome and the Campagna",Stefano della Bella,etching;print;prints and drawing
105073,The Creation of Adam,Giovanni Benedetto Castiglione,monotype;print;prints and drawing;paper
113495,The Eye That Sees Everything,Man Ray (Emmanuel Radnitzky),gouache;drawings (visual works);prints and drawing;paper;drawing
118769,Bronze Chair,Scott Burton,bronze;metal;sculpture;modern and contemporary art
121415,"Les jets d'eau sortant de terre, from Vues de la villa de Pratolino",Stefano della Bella,etching;print;prints and drawing
121412,The Grotto of Pan and Fame,Stefano della Bella,etching;print;prints and drawing
121408,"South Facade of the Villa and the Great Meadow, from Views of the Villa Pratolino",Stefano della Bella,etching;print;prints and drawing
123740,"Pedro Romero killing the halted bull, plate 30 from The Art of Bullfighting",Francisco José de Goya y Lucientes,etching;print;prints and drawing
121628,Rehearsal of the Pasdeloup Orchestra at the Cirque d'Hiver,John Singer Sargent,painting;american arts
121416,"The Colossal Statue of the Apennines, from Views of Villa di Pratolino",Stefano della Bella,etching;print;prints and drawing
127983,"April, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127982,"March, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127981,"February, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127986,"July, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127984,"May, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127989,"October, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127988,"September, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127987,"August, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
131466,"1. Arch of Titus. 2. Villa Farnese. 3. Columns of the Temple of Jupiter Stator [the Supporter]. 4. Arch of Septimius Severus. 5. Temple of Peace, plate six from Some Views of Triumphal Arches and other Monuments",Giovanni Battista Piranesi,etching;print;prints and drawing
127991,"December, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
127990,"November, from Twelve Months of Flowers",Henry Fletcher,etching;print;prints and drawing
131700,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
131699,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
131703,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
131701,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
131706,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
131705,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
131709,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
131708,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
131715,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
131712,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
131711,Untitled,Man Ray (Emmanuel Radnitzky),gelatin silver (developing-out-paper) pr;photographic process;photography;photograph
133852,Self-Portrait,Gertrude Abercrombie,painting;modern and contemporary art
131827,Divan of Hafiz,Islamic,book;asian art
137054,Equestrian Ballet in the Amphitheater of the Boboli Gardens,Stefano della Bella,etching;print;prints and drawing
134050,Broken and Restored Multiplication,Suzanne Duchamp,painting;Modern Art Highlights;Surrealism Highlights
137226,Four Tiles with a Figural Scene,Islamic,earthenware;asian art;ceramics;architectural fragment
143490,"Pyramide de Chéops, Egypte Moyenne, plate 9 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Aimé Rochas,salted paper print;photographic process;photography;photograph
143489,"Vue Générale Prise a l'Ouest, Le Kaire, plate 1 from the album ""Egypte, Nubie, Palestine et Syrie,"" (1852)",Aimé Rochas,salted paper print;photographic process;photography;photograph
141448,"Heavenly Ganymede, plate XV from the second issue of Specimens of Polyautography",Henry Fuseli,lithograph;print;prints and drawing;paper
144201,"Mosquée du Khalife Haakem Biamrillah, Le Kaire, plate 4 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
143499,"Médinet-Habou, Galerie du Palais de Ramsès-Méiamoun; Thèbes, plate 52 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Aimé Rochas,salted paper print;photographic process;photography;photograph
144204,"Tombeau de Sultans Mamelouks, Le Kaire, plate 8 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144203,"Mosquée et Tombeau du Sultan Kansou-el-Gouri, Le Kaire, plate 7 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144202,"Mosquée et Tombeau des Ayoubites, Le Kaire, plate 6 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144206,"Le Sphynx vu de Face, Egypte Moyenne, plate 11 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144205,"Pyramide de Chéphren, Egypte Moyenne, plate 10 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144209,"Vue Générale, Girgeh, Haute-Egypte, plate 14 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144208,"Mosquée d'El-Arif et Tombeau de Mourad-Bey, Haute-Egypte, plate 13 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144207,"Nécropole de l'Ancienne Lycopolis, Haute-Egypte, plate 12 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144211,"Vue Générale, Grand Temple de Dendérah (Teutyres), Haute-Egypte, plate 16 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144210,"Mosquée d'Aly-Bey, Girgeh, Haute-Egypte, plate 15 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144214,"Grand Temple de Dendérah (Teutyres), Sculptures de la Façade Postérieure; Haute-Egypte, plate 19 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144213,"Façade Postérieure, Grand Temple de Dendérah (Teutyres), Haute Egypte, plate 18 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144212,"Grand Temple de Dendérah (Teutyres), Haute-Egypte, plate 17 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144216,"Maison et Jardin dans le Quartier Frank, Le Kaire, plate 3 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144215,"Grand Temple de Dendérah (Teutyres), Sculptures de la Façade Postérieure; Haute-Egypte, plate 20 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144218,"Village de Hamameh, Haute-Egypte, plate 21 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144217,"Mosquée de Sultan Haçan, Le Kaire, plate 5 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144221,"Louqsor, Vue Générale des Ruines; Thèbes, plate 24 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144220,"Bois de Dattiers et de Palmiers Doums, Haute-Egypte, plate 23 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144219,"Palmiers Doums, Haute-Egypte, plate 22 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144224,"Louqsor, Groupe de Colonnes dans le Palais; Thèbes, plate 26 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144222,"Louqsor, Grande Colonnade du Palais; Thèbes, plate 25 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144226,"Karnak, Temple de Khons; Thèbes, plate 28 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144225,"Karnak, Propylone du Temple de Khons; Thèbes, plate 27 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144228,"Palais de Karnak, Propylées du Sud; Thèbes, plate 30 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144227,"Karnak, Portique du Temple de Khons; Thèbes, plate 29 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144230,"Palais de Karnak, Vue Générale des Ruines, Prise au Nord; Thèbes, plate 32 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144229,"Palais de Karkak, Vue générale des Ruines, Prise a l'est; Thèbes, plate 31 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144232,"Palais de Karnak, Salle Hypostyle, Prise à l'Angle Nord-Est; Thèbes, plate 34 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144231,"Palais de Karnak, Entrée Méridionale de la Salle Hypostyle; Thèbes, plate 33 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144235,"Palais de Karnak, Cour des Bubastites et Entrée Principale de la Salle Hypostyle; Thèbes, plate 37 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144234,"Palais de Karnak, Grands Pylones du Sud-Ouest; Thèbes, plate 36 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144233,"Palais de Karnak, Salle Hypostyle Prise au Nord; Thèbes, plate 35 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144237,"Palais de Karnak, Pilier Devant le Sanctuaire de Granit; Thèbes, plate 39 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144236,"Palais de Karnak, Pilier Devant le Sanctuaire de Granit; Thèbes, plate 38 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144240,"Palais de Karnak, Sculptures Extérieures du Sanctuaire de Granit; Thèbes, plate 42 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144239,"Palais de Karnak, Sculptures Extérieures du Sanctuaire de Granit; Thèbes, plate 40 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144238,"Palais de Karnak, Sculptures Extérieures du Sanctuaire de Granit; Thèbes, plate 40 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144242,"Palais de Karnak, Les Obélisques; Thèbes, plate 44 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144241,"Palais de Karnak, Sanctuaire de Granit et Salle Hypostyle; Thèbes, plate 43 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144244,"Médinet-Habou,Vue Générale des Rines, Thèbes, plate 45 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144243,"Palais de Karnak, Appartements Privés du Palais, Promenoir de Tôthmès III; Thèbes, plate 45 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144247,"Médinet-Habou, Façade Septentrionale du Gynécée de Ramsès-Méiamoun; Thèbes, plate 49 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144246,"Médinet-Habou, Façade Orientale du Gynécée de Ramsès-Mèiamoun; Thèbes, plate 48 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144245,"Médinet-Habou, Propylées du Thoutmoseum; Thèbes, plate 47 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144249,"Médinet-Habou, Partie Orientale du Péristyle du Palais de Ramsès-Méiamoun; Thèbes, plate 51 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144248,"Médinet-Habou, Péristyle du Palais de Ramsès-Méiamoun; Thèbes, plate 50 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144252,"Gournah, Statue de Memnon; Thèbes, plate 55 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144251,"Gournah, Les Colosses; Thèbes, plate 54 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144250,"Médinet-Habou, Ruines de la Ville de Papa; Thèbes, plate 53 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144254,"Gournah, Sculptures du Trône des Colosses; Thèbes, plate 57 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144253,"Gournah, Colosse Monolithe d'Aménôpht III; Thèbes, plate 56 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144257,"Gournah, Palais de Ménephta 1er; Thèbes, plate 61 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144256,"Gournah, Nécropole de Thèbes; Thèbes, plate 60 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144255,"Gournah, Tombeau d'Osymandias; Thèbes, plate 58 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144274,"Tombeau de Cidi-Abdellah-el-Marabout, Haute-Egypte, plate 62 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144273,"Gournah, Pérystyle du Tombeau d'Osymandias (Ramesseum Occidental); Thèbes, plate 59 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144277,"Temple d'Ombos, Haute-Egypte, plate 65 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144276,"Vue Générale d'Esneh, Haute-Egypte, plate 64 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144275,"Temple d'Hermontis, Haute-Egypte, plate 63 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144279,"Sortie de la Première Cataracte, Haute-Egypte, plate 67 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144278,"Entrée de la Première Cataracte, Haute-Egypte, plate 66 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144282,"Temple Hypêthre, Philoe; Nubie, plate 70 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144281,"Vue Prise à l'Angle Sud-Ouest, Philoe; Nubie, plate 69 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144280,"Vue Prise de l'île de Beghé, à l'Ouest, Philoe; Nubie, plate 68 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144284,"Drômos et Philônes, Grand Temple d'Isis à Pilônes; Nubie, plate 72 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144283,"Ruines d'Une Fortification Romaine, Philoe; Nubie, plate 71 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144287,"Grand Temple d'Isis à Philoe, Proscynéma (Acte d'Adoration); Nubie, plate 75 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144286,"Grand Temple d'Isis à Philoe, Second Pylône; Nubie, plate 74 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144285,"Grand Temple d'Isis à Philoe, Galerie Orientale; Nubie, plate 73 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144289,"Inscription Démotique, Grand Temple d'Isis à Philoe; Nubie, plate 77 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144288,"Grand Temple d'Isis à Philoe, Inscription Démotique; Nubie, plate 76 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144291,"Grand Temple d'Isis à Philoe, Tôth Ibiocéphale; Nubie, plate 79 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144290,"Muraille Occidentale, Grand Temple d'Isis à Philoe; Nubie, plate 78 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
144293,"Village et Temple de l'Ile de Béghé, à l'Ouest de Philoe; Nubie, plate 81 from the album ""Egypte, Nubie, Palestine et Syrie"" (1852)",Maxime Du Camp,salted paper print;photographic process;photography;photograph
